start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 18% citric, 1200ppm Cap B, 1.1% APG (18) - April 11 - 70C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,23-Apr-24,,"Clear solution, black coloring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 14,07-May-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,23-Apr-24,,"Clear solution, black coloring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,30-Apr-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,23-Apr-24,,"Clear solution, black coloring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,01-May-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 18% citric, 1200ppm Cap B, 1.1% APG (18) - April 11 - 29C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution - 1,(unstable RT concentrate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,01-May-24,3.9,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 26,05-Jun-24,,Particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 16% citric, 1200ppm Cap B, 1.1% APG (17) - April 10 - 70C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,25-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 12,07-May-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
