Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 16% Citric, 1200ppm CapB, 1.1% APG (17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-May,,8cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-May,,7.5cc,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-May,,6.5cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,09-May,,6.5cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 18% Citric, 1200ppm CapB, 1.1% APG (18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-May,,7cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-May,,6.5cc,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-May,,6.5cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,09-May,,6.5cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 18% Citric, 1200ppm CapB, 1.1% APG (126)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-May,,7.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-May,,7cc,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-May,,7cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,09-May,,7cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 16% Citric, 1200ppm CapB, 1.1% APG (138)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-May,,7.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-May,,7cc,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-May,,6.5cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,09-May,,6.5cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 14% Citric, 1200ppm CapB, 1.1% APG (137)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,22-May,,7cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
